Country/Region,Date,Cases,Lat,Long
Afghanistan,2020-08-08,37101,33.93911,67.709953
Afghanistan,2020-08-09,37140,33.93911,67.709953
Afghanistan,2020-08-10,37140,33.93911,67.709953
Afghanistan,2020-08-11,37355,33.93911,67.709953
Afghanistan,2020-08-12,37431,33.93911,67.709953
Afghanistan,2020-08-13,37510,33.93911,67.709953
Afghanistan,2020-08-14,37517,33.93911,67.709953
Afghanistan,2020-08-15,37637,33.93911,67.709953
Afghanistan,2020-08-16,37682,33.93911,67.709953
Afghanistan,2020-08-17,37682,33.93911,67.709953
Afghanistan,2020-08-18,37685,33.93911,67.709953
Afghanistan,2020-08-19,37685,33.93911,67.709953
Afghanistan,2020-08-20,37845,33.93911,67.709953
Afghanistan,2020-08-21,37942,33.93911,67.709953
Afghanistan,2020-08-22,37980,33.93911,67.709953
Afghanistan,2020-08-23,38039,33.93911,67.709953
Afghanistan,2020-08-24,38085,33.93911,67.709953
Afghanistan,2020-08-25,38156,33.93911,67.709953
Afghanistan,2020-08-26,38199,33.93911,67.709953
Afghanistan,2020-08-27,38215,33.93911,67.709953
Afghanistan,2020-08-28,38226,33.93911,67.709953
Afghanistan,2020-08-29,38229,33.93911,67.709953
Afghanistan,2020-08-30,38229,33.93911,67.709953
Afghanistan,2020-08-31,38248,33.93911,67.709953
Afghanistan,2020-09-01,38282,33.93911,67.709953
Afghanistan,2020-09-02,38329,33.93911,67.709953
Afghanistan,2020-09-03,38374,33.93911,67.709953
Afghanistan,2020-09-04,38374,33.93911,67.709953
Afghanistan,2020-09-05,38390,33.93911,67.709953
Afghanistan,2020-09-06,38484,33.93911,67.709953
Afghanistan,2020-09-07,38580,33.93911,67.709953
Afghanistan,2020-09-08,38606,33.93911,67.709953
Afghanistan,2020-09-09,38630,33.93911,67.709953
Afghanistan,2020-09-10,38658,33.93911,67.709953
Afghanistan,2020-09-11,38692,33.93911,67.709953
Afghanistan,2020-09-12,38727,33.93911,67.709953
Afghanistan,2020-09-13,38802,33.93911,67.709953
Afghanistan,2020-09-14,38858,33.93911,67.709953
Afghanistan,2020-09-15,38901,33.93911,67.709953
Afghanistan,2020-09-16,38941,33.93911,67.709953
Afghanistan,2020-09-17,38958,33.93911,67.709953
Afghanistan,2020-09-18,38969,33.93911,67.709953
Afghanistan,2020-09-19,39005,33.93911,67.709953
Afghanistan,2020-09-20,39130,33.93911,67.709953
Afghanistan,2020-09-21,39160,33.93911,67.709953
Afghanistan,2020-09-22,39182,33.93911,67.709953
Afghanistan,2020-09-23,39231,33.93911,67.709953
Afghanistan,2020-09-24,39256,33.93911,67.709953
Afghanistan,2020-09-25,39272,33.93911,67.709953
Afghanistan,2020-09-26,39278,33.93911,67.709953
Afghanistan,2020-09-27,39313,33.93911,67.709953
Afghanistan,2020-09-28,39325,33.93911,67.709953
Afghanistan,2020-09-29,39340,33.93911,67.709953
Afghanistan,2020-09-30,39354,33.93911,67.709953
Afghanistan,2020-10-01,39371,33.93911,67.709953
Afghanistan,2020-10-02,39376,33.93911,67.709953
Afghanistan,2020-10-03,39383,33.93911,67.709953
Afghanistan,2020-10-04,39427,33.93911,67.709953
Afghanistan,2020-10-05,39508,33.93911,67.709953
Afghanistan,2020-10-06,39572,33.93911,67.709953
Afghanistan,2020-10-07,39634,33.93911,67.709953
Afghanistan,2020-10-08,39702,33.93911,67.709953
Afghanistan,2020-10-09,39779,33.93911,67.709953
Afghanistan,2020-10-10,39789,33.93911,67.709953
Afghanistan,2020-10-11,39885,33.93911,67.709953
Afghanistan,2020-10-12,39956,33.93911,67.709953
Afghanistan,2020-10-13,40014,33.93911,67.709953
Afghanistan,2020-10-14,40080,33.93911,67.709953
Afghanistan,2020-10-15,40112,33.93911,67.709953
Afghanistan,2020-10-16,40159,33.93911,67.709953
Afghanistan,2020-10-17,40227,33.93911,67.709953
Afghanistan,2020-10-18,40286,33.93911,67.709953
Afghanistan,2020-10-19,40373,33.93911,67.709953
Afghanistan,2020-10-20,40461,33.93911,67.709953
Afghanistan,2020-10-21,40461,33.93911,67.709953
Afghanistan,2020-10-22,40510,33.93911,67.709953
Afghanistan,2020-10-23,40626,33.93911,67.709953
Afghanistan,2020-10-24,40687,33.93911,67.709953
Afghanistan,2020-10-25,40768,33.93911,67.709953
Afghanistan,2020-10-26,40833,33.93911,67.709953
Afghanistan,2020-10-27,40937,33.93911,67.709953
Afghanistan,2020-10-28,41032,33.93911,67.709953
Afghanistan,2020-10-29,41145,33.93911,67.709953
Afghanistan,2020-10-30,41268,33.93911,67.709953
Afghanistan,2020-10-31,41334,33.93911,67.709953
Afghanistan,2020-11-01,41425,33.93911,67.709953
Afghanistan,2020-11-02,41501,33.93911,67.709953
Afghanistan,2020-11-03,41633,33.93911,67.709953
Afghanistan,2020-11-04,41728,33.93911,67.709953
Afghanistan,2020-11-05,41814,33.93911,67.709953
Afghanistan,2020-11-06,41935,33.93911,67.709953
Afghanistan,2020-11-07,41975,33.93911,67.709953
Afghanistan,2020-11-08,42033,33.93911,67.709953
Afghanistan,2020-11-09,42159,33.93911,67.709953
Afghanistan,2020-11-10,42297,33.93911,67.709953
Afghanistan,2020-11-11,42463,33.93911,67.709953
Afghanistan,2020-11-12,42609,33.93911,67.709953
Afghanistan,2020-11-13,42795,33.93911,67.709953
Afghanistan,2020-11-14,42969,33.93911,67.709953
Afghanistan,2020-11-15,43035,33.93911,67.709953
Afghanistan,2020-11-16,43240,33.93911,67.709953
Afghanistan,2020-11-17,43403,33.93911,67.709953
Afghanistan,2020-11-18,43628,33.93911,67.709953
Afghanistan,2020-11-19,43851,33.93911,67.709953
Afghanistan,2020-11-20,44228,33.93911,67.709953
Afghanistan,2020-11-21,44443,33.93911,67.709953
Afghanistan,2020-11-22,44503,33.93911,67.709953
Afghanistan,2020-11-23,44706,33.93911,67.709953
Afghanistan,2020-11-24,44988,33.93911,67.709953
Afghanistan,2020-11-25,45278,33.93911,67.709953
Afghanistan,2020-11-26,45490,33.93911,67.709953
Afghanistan,2020-11-27,45716,33.93911,67.709953
Afghanistan,2020-11-28,45839,33.93911,67.709953
Afghanistan,2020-11-29,45966,33.93911,67.709953
Afghanistan,2020-11-30,46215,33.93911,67.709953
Afghanistan,2020-12-01,46498,33.93911,67.709953
Afghanistan,2020-12-02,46717,33.93911,67.709953
Afghanistan,2020-12-03,46980,33.93911,67.709953
Afghanistan,2020-12-04,47258,33.93911,67.709953
Afghanistan,2020-12-05,47388,33.93911,67.709953
Afghanistan,2020-12-06,47641,33.93911,67.709953
Afghanistan,2020-12-07,47901,33.93911,67.709953
Afghanistan,2020-12-08,48136,33.93911,67.709953
Afghanistan,2020-12-09,48366,33.93911,67.709953
Afghanistan,2020-12-10,48540,33.93911,67.709953
Afghanistan,2020-12-11,48753,33.93911,67.709953
Afghanistan,2020-12-12,48826,33.93911,67.709953
Afghanistan,2020-12-13,48952,33.93911,67.709953
Afghanistan,2020-12-14,49273,33.93911,67.709953
Afghanistan,2020-12-15,49484,33.93911,67.709953
Afghanistan,2020-12-16,49703,33.93911,67.709953
Afghanistan,2020-12-17,49927,33.93911,67.709953
Afghanistan,2020-12-18,50202,33.93911,67.709953
